,Clean_text,Views_per_day
360,"['china', 'pak', 'advice', 'uighur', 'muslims']",2411.0
361,"['putin', 'pay', 'rouble', 'gas', 'international', 'headlines']",14467.0
362,"['nuclear', 'disaster', 'ukraine', 'europe', 'plant']",9644.0
363,"['mass', 'graf', 'canada']",2627.0
364,"['study', 'humans', 'year']",2411.0
365,"['russia', 'country']",9600.0
366,"['biden', 'china', 'joe', 'biden']",2389.0
367,"['wuhan', 'coronavirus', 'african', 'nation', 'china']",1194.0
368,"['wuhan', 'coronavirus', 'china', 'recovery']",1193.0
369,"['solar', 'flare', 'radio', 'blackout', 'asia', 'australia']",14300.0
370,"['story', 'coronavirus', 'weapon']",1186.0
371,"['conflict', 'naftali', 'bennett', 'president', 'putin', 'kremlin']",9478.0
372,"['tensions', 'india', 'china', 'galwan', 'valley', 'indiachina', 'conflict']",1183.0
373,"['war', 'ukraine']",28233.0
374,"['was', 'pfizer', 'vaccine', 'trial']",4029.0
375,"['bid', 'india', 'army', 'chief', 'home', 'minister']",5633.0
376,"['hamas', 'zionist', 'dolphin', 'commando']",5633.0
377,"['videos', 'propaganda']",1172.0
378,"['has', 'jinping', 'plot']",28133.0
379,"['india', 'prime', 'minister', 'narendra', 'modi', 'car']",5600.0
380,"['will', 'sweden', 'netherlands', 'muslim', 'nation']",2333.0
381,"['india', 'turkey', 'place', 'kashmir']",2381.0
382,"['germany', 'onceinamillenium', 'flood']",2536.0
383,"['trudeau', 'trucker', 'ottawa']",6967.0
384,"['pakistan', 'weather', 'war']",1161.0
385,"['geography', 'lesson', 'imran', 'khan']",2317.0
386,"['status', 'breakaway', 'region', 'president', 'zelensky']",9267.0
387,"['biden', 'india', 'problem']",27767.0
388,"['india', 'power', 'bollywood']",2311.0
389,"['west', 'oil', 'import']",13867.0
390,"['saudi', 'arabia', 'loudspeaker', 'mosque']",2311.0
391,"['indians', 'thousand', 'dollar', 'india']",2308.0
392,"['imran', 'khan', 'russia', 'ukraine', 'crisis']",9233.0
393,"['quad', 'past', 'present', 'future']",2308.0
394,"['vaccine', 'makers', 'booster', 'variant']",4611.0
395,"['russia', 'ceasefire', 'ukraine', 'corridor']",9189.0
396,"['elon', 'musk', 'vladimir', 'putin', 'series', 'tweet']",9178.0
397,"['fbi', 'researcher', 'week']",1147.0
398,"['united', 'nations', 'redundant', 'body']",2294.0
399,"['video', 'afghans', 'plane', 'desperate', 'youth', 'hang', 'plane']",2750.0
400,"['intelligence', 'report', 'leader', 'ill', 'heart', 'surgery', 'kim', 'jongun']",1144.0
401,"['who', 'director', 'general', 'china', 'line', 'coronavirus']",1144.0
402,"['sikh', 'regiment', 'army', 'village', 'boy', 'soldier']",457.0
403,"['pakistan', 'highprofile', 'assassin']",2281.0
404,"['fund', 'hamas']",2278.0
405,"['ronaldo', 'fizz', 'coke']",2278.0
406,"['russia', 'ukraine', 'putin', 'troop', 'kyiv']",9100.0
407,"['ghislaine', 'maxwell', 'sex', 'trafficking']",5447.0
408,"['heavy', 'fighting', 'panjshir', 'valley', 'hour', 'kabul']",3015.0
409,"['yemen', 'houthis', 'attack', 'saudi', 'city']",3876.0
410,"['north', 'korea', 'missile']",2253.0
411,"['things', 'india', 'who']",1125.0
412,"['amid', 'offensive', 'ukraine', 'nato', 'bid']",8978.0
413,"['wuhan', 'coronavirus', 'china', 'coronavirus', 'cure']",1118.0
414,"['russia', 'gas', 'poland', 'bulgaria']",26800.0
415,"['inside', 'china', 'sports', 'centres', 'children']",2233.0
416,"['india', 'help', 'outbreak']",1115.0
417,['child'],2217.0
418,"['colony', 'india', 'backyard', 'colombo', 'port', 'city', 'project']",2211.0
419,"['threat', 'war', 'russia', 'right', 'nuke']",13267.0
420,"['israel', 'palestine', 'india', 'support']",2208.0
421,"['china', 'floods', 'rain', 'year']",2406.0
422,"['watch', 'upadhyay', 'oli', 'caretaker']",2203.0
423,"['question', 'wuhan', 'coronavirus']",1101.0
424,"['election', 'result', 'donald', 'trump', 'joe', 'biden', 'presidential', 'election', 'results']",2200.0
425,"['phone', 'mistake']",2200.0
